Distrito,cabecera.distrital,Partido,Estado,Media,Rango menor,Rango superior
NACIONAL,NACIONAL,ES,NACIONAL,1.90%,0,7.79%
NACIONAL,NACIONAL,MC,NACIONAL,5.18%,0.47%,9.14%
NACIONAL,NACIONAL,MORENA,NACIONAL,40.18%,35.98%,43.70%
NACIONAL,NACIONAL,OTROS,NACIONAL,5.35%,0,11.51%
NACIONAL,NACIONAL,PAN,NACIONAL,17.35%,16.93%,17.71%
NACIONAL,NACIONAL,PRD,NACIONAL,2.74%,0,5.95%
NACIONAL,NACIONAL,PRI,NACIONAL,14.97%,3.91%,24.25%
NACIONAL,NACIONAL,PT,NACIONAL,2.54%,2.26%,2.76%
NACIONAL,NACIONAL,PVEM,NACIONAL,7.55%,0,17.77%
NACIONAL,NACIONAL,RSP,NACIONAL,2.32%,0,5.90%
E14D5,PUERTO VALLARTA,ES,JALISCO,1.17%,0,6.65%
E30D9,COATEPEC,ES,VERACRUZ,2.33%,0,8.55%
E15D7,CUAUTITLAN IZCALLI,ES,MÉXICO,5.02%,0,10.66%
E25D5,CULIACAN DE ROSALES,ES,SINALOA,2.54%,0,10.98%
E9D8,CUAUHTEMOC,ES,CIUDAD DE MÉXICO,5.10%,0.72%,8.77%
E9D15,BENITO JUAREZ,ES,CIUDAD DE MÉXICO,5.11%,0.23%,9.22%
E15D9,SAN FELIPE DEL PROGRESO,ES,MÉXICO,2.76%,0,11.41%
E23D2,CHETUMAL,ES,QUINTANA ROO,4.53%,0,11.45%
E8D9,HIDALGO DEL PARRAL,ES,CHIHUAHUA,3.51%,0,15.74%
E21D10,CHOLULA DE RIVADAVIA,ES,PUEBLA,3.84%,0,7.75%
E7D4,PICHUCALCO,ES,CHIAPAS,8.11%,0,23.02%
E12D2,IGUALA,ES,GUERRERO,2.86%,0,9.62%
E15D35,TENANCINGO DE DEGOLLADO,ES,MÉXICO,2.44%,0,9.00%
E5D7,SALTILLO,ES,COAHUILA,2.33%,0,11.69%
E15D28,ZUMPANGO DE OCAMPO,ES,MÉXICO,3.37%,0,10.22%
E2D3,ENSENADA,ES,BAJA CALIFORNIA,3.93%,-0.38%,7.55%
E10D1,VICTORIA DE DURANGO,ES,DURANGO,2.56%,0,11.79%
E19D5,MONTERREY,ES,NUEVO LEÓN,3.29%,0,11.20%
E13D6,PACHUCA DE SOTO,ES,HIDALGO,5.38%,0,12.41%
E11D7,SAN FRANCISCO DEL RINCON,ES,GUANAJUATO,2.06%,0,9.23%
E23D4,CANCUN,ES,QUINTANA ROO,4.13%,0,9.00%
E15D26,TOLUCA DE LERDO,ES,MÉXICO,4.53%,0,12.67%
E14D4,ZAPOPAN,ES,JALISCO,1.04%,0,4.71%
E11D11,LEON,ES,GUANAJUATO,3.58%,0,8.73%
E30D16,CORDOBA,ES,VERACRUZ,2.26%,0,7.95%
E1D2,AGUASCALIENTES,ES,AGUASCALIENTES,4.72%,0,11.50%
