Partido candidato de la coalición,U Distrito,Estado,Cabecera.Distrital,Media,DesvEst,Menor,Mayor,PROBABILIDAD DE GANAR
ES,E1D1,AGUASCALIENTES,JESUS MARIA,2.82%,0.0493,0.00%,12.48%,0.00%
MC,E1D1,AGUASCALIENTES,JESUS MARIA,2.92%,0.0110,1.11%,5.07%,0.00%
MORENA,E1D1,AGUASCALIENTES,JESUS MARIA,25.37%,0.0103,23.68%,27.39%,0.00%
PAN,E1D1,AGUASCALIENTES,JESUS MARIA,50.48%,0.0965,34.60%,69.40%,99.93%
PT,E1D1,AGUASCALIENTES,JESUS MARIA,3.05%,0.0023,2.67%,3.50%,0.00%
PVEM,E1D1,AGUASCALIENTES,JESUS MARIA,10.67%,0.0792,0.00%,26.20%,0.07%
RSP,E1D1,AGUASCALIENTES,JESUS MARIA,5.81%,0.0219,2.21%,10.10%,0.00%
ES,E1D2,AGUASCALIENTES,AGUASCALIENTES,4.72%,0.0412,0.00%,12.80%,0.00%
MC,E1D2,AGUASCALIENTES,AGUASCALIENTES,4.80%,0.0162,2.13%,7.98%,0.00%
PAN,E1D2,AGUASCALIENTES,AGUASCALIENTES,26.68%,0.0372,20.56%,33.97%,2.83%
PRD,E1D2,AGUASCALIENTES,AGUASCALIENTES,0.00%,0.0155,0.00%,3.03%,0.00%
PRI,E1D2,AGUASCALIENTES,AGUASCALIENTES,19.14%,0.0769,6.50%,34.21%,1.54%
PT,E1D2,AGUASCALIENTES,AGUASCALIENTES,43.42%,0.0684,32.17%,56.82%,95.63%
RSP,E1D2,AGUASCALIENTES,AGUASCALIENTES,3.64%,0.0247,0.00%,8.49%,0.00%
ES,E1D3,AGUASCALIENTES,AGUASCALIENTES,3.64%,0.0353,0.00%,10.55%,0.00%
MC,E1D3,AGUASCALIENTES,AGUASCALIENTES,4.28%,0.0197,1.03%,8.14%,0.00%
MORENA,E1D3,AGUASCALIENTES,AGUASCALIENTES,24.56%,0.0111,22.73%,26.74%,33.18%
PAN,E1D3,AGUASCALIENTES,AGUASCALIENTES,33.68%,0.0654,22.92%,46.50%,53.47%
PRD,E1D3,AGUASCALIENTES,AGUASCALIENTES,0.00%,0.0154,0.00%,3.02%,0.00%
PRI,E1D3,AGUASCALIENTES,AGUASCALIENTES,21.73%,0.1081,3.94%,42.92%,11.98%
PT,E1D3,AGUASCALIENTES,AGUASCALIENTES,2.76%,0.0026,2.32%,3.27%,0.00%
PVEM,E1D3,AGUASCALIENTES,AGUASCALIENTES,11.81%,0.0742,0.00%,26.35%,1.37%
RSP,E1D3,AGUASCALIENTES,AGUASCALIENTES,2.80%,0.0282,0.00%,8.33%,0.00%
ES,E2D1,BAJA CALIFORNIA,MEXICALI,4.29%,0.0269,0.00%,9.56%,0.00%
MC,E2D1,BAJA CALIFORNIA,MEXICALI,6.32%,0.0182,3.33%,9.89%,0.00%
MORENA,E2D1,BAJA CALIFORNIA,MEXICALI,55.00%,0.0399,48.43%,62.82%,99.47%
PAN,E2D1,BAJA CALIFORNIA,MEXICALI,31.37%,0.0735,19.29%,45.77%,0.53%
RSP,E2D1,BAJA CALIFORNIA,MEXICALI,3.34%,0.0236,0.00%,7.98%,0.00%
ES,E2D2,BAJA CALIFORNIA,MEXICALI,4.37%,0.0202,1.05%,8.32%,0.00%
MC,E2D2,BAJA CALIFORNIA,MEXICALI,5.81%,0.0186,2.75%,9.46%,0.00%
MORENA,E2D2,BAJA CALIFORNIA,MEXICALI,44.27%,0.0118,42.34%,46.58%,95.50%
PAN,E2D2,BAJA CALIFORNIA,MEXICALI,31.62%,0.0783,18.75%,46.97%,4.50%
PT,E2D2,BAJA CALIFORNIA,MEXICALI,2.41%,0.0109,0.62%,4.54%,0.00%
PVEM,E2D2,BAJA CALIFORNIA,MEXICALI,6.97%,0.0385,0.00%,14.52%,0.00%
RSP,E2D2,BAJA CALIFORNIA,MEXICALI,2.61%,0.0250,0.00%,7.51%,0.00%
ES,E2D3,BAJA CALIFORNIA,ENSENADA,3.93%,0.0220,0.00%,8.24%,0.00%
MC,E2D3,BAJA CALIFORNIA,ENSENADA,4.41%,0.0109,2.62%,6.54%,0.00%
PRI,E2D3,BAJA CALIFORNIA,ENSENADA,28.46%,0.0396,21.94%,36.22%,0.00%
PT,E2D3,BAJA CALIFORNIA,ENSENADA,58.73%,0.0347,53.03%,65.53%,100.00%
RSP,E2D3,BAJA CALIFORNIA,ENSENADA,2.99%,0.0109,1.20%,5.13%,0.00%
ES,E2D4,BAJA CALIFORNIA,TIJUANA,4.04%,0.0182,1.04%,7.62%,0.00%
MC,E2D4,BAJA CALIFORNIA,TIJUANA,3.76%,0.0142,1.42%,6.54%,0.00%
MORENA,E2D4,BAJA CALIFORNIA,TIJUANA,60.41%,0.0202,57.08%,64.38%,100.00%
PRI,E2D4,BAJA CALIFORNIA,TIJUANA,21.55%,0.0462,13.96%,30.59%,0.00%
PT,E2D4,BAJA CALIFORNIA,TIJUANA,5.39%,0.0076,4.15%,6.88%,0.00%
PVEM,E2D4,BAJA CALIFORNIA,TIJUANA,6.39%,0.0288,1.65%,12.04%,0.00%
RSP,E2D4,BAJA CALIFORNIA,TIJUANA,4.64%,0.0239,0.00%,9.33%,0.00%
ES,E2D5,BAJA CALIFORNIA,TIJUANA,4.95%,0.0244,0.94%,9.74%,0.00%
MC,E2D5,BAJA CALIFORNIA,TIJUANA,3.42%,0.0170,0.63%,6.76%,0.00%
MORENA,E2D5,BAJA CALIFORNIA,TIJUANA,51.26%,0.0190,48.14%,54.99%,99.88%
PAN,E2D5,BAJA CALIFORNIA,TIJUANA,30.24%,0.0629,19.89%,42.57%,0.12%
PT,E2D5,BAJA CALIFORNIA,TIJUANA,3.83%,0.0108,2.05%,5.95%,0.00%
PVEM,E2D5,BAJA CALIFORNIA,TIJUANA,7.25%,0.0393,0.00%,14.94%,0.00%
RSP,E2D5,BAJA CALIFORNIA,TIJUANA,1.70%,0.0274,0.00%,7.06%,0.00%
ES,E2D6,BAJA CALIFORNIA,TIJUANA,5.00%,0.0222,1.35%,9.35%,0.00%
MC,E2D6,BAJA CALIFORNIA,TIJUANA,3.56%,0.0163,0.88%,6.76%,0.00%
MORENA,E2D6,BAJA CALIFORNIA,TIJUANA,52.54%,0.0176,49.64%,56.00%,100.00%
PRD,E2D6,BAJA CALIFORNIA,TIJUANA,28.88%,0.0536,20.06%,39.38%,0.00%
PT,E2D6,BAJA CALIFORNIA,TIJUANA,3.78%,0.0086,2.36%,5.47%,0.00%
PVEM,E2D6,BAJA CALIFORNIA,TIJUANA,7.04%,0.0411,0.00%,15.09%,0.00%
RSP,E2D6,BAJA CALIFORNIA,TIJUANA,2.02%,0.0261,0.00%,7.14%,0.00%
ES,E2D7,BAJA CALIFORNIA,MEXICALI,5.27%,0.0255,1.08%,10.26%,0.00%
MC,E2D7,BAJA CALIFORNIA,MEXICALI,7.55%,0.0231,3.76%,12.07%,0.00%
MORENA,E2D7,BAJA CALIFORNIA,MEXICALI,56.47%,0.0396,49.95%,64.23%,100.00%
PRI,E2D7,BAJA CALIFORNIA,MEXICALI,26.29%,0.0519,17.75%,36.47%,0.00%
RSP,E2D7,BAJA CALIFORNIA,MEXICALI,2.08%,0.0189,0.00%,5.78%,0.00%
ES,E2D8,BAJA CALIFORNIA,TIJUANA,4.66%,0.0243,0.00%,9.42%,0.00%
MC,E2D8,BAJA CALIFORNIA,TIJUANA,4.07%,0.0165,1.35%,7.30%,0.00%
PRD,E2D8,BAJA CALIFORNIA,TIJUANA,25.11%,0.0477,17.26%,34.46%,0.00%
PVEM,E2D8,BAJA CALIFORNIA,TIJUANA,66.20%,0.0357,60.32%,73.20%,100.00%
RSP,E2D8,BAJA CALIFORNIA,TIJUANA,1.99%,0.0225,0.00%,6.40%,0.00%
ES,E3D1,BAJA CALIFORNIA SUR,LA PAZ,1.84%,0.0267,0.00%,7.08%,0.00%
MC,E3D1,BAJA CALIFORNIA SUR,LA PAZ,2.56%,0.0107,0.80%,4.65%,0.00%
PAN,E3D1,BAJA CALIFORNIA SUR,LA PAZ,36.36%,0.0726,24.43%,50.59%,5.84%
PT,E3D1,BAJA CALIFORNIA SUR,LA PAZ,49.90%,0.0284,45.22%,55.47%,94.16%
RSP,E3D1,BAJA CALIFORNIA SUR,LA PAZ,4.73%,0.0075,3.49%,6.21%,0.00%
ES,E3D2,BAJA CALIFORNIA SUR,SAN JOSE DEL CABO,2.13%,0.0307,0.00%,8.14%,0.00%
MC,E3D2,BAJA CALIFORNIA SUR,SAN JOSE DEL CABO,1.48%,0.0127,0.00%,3.96%,0.00%
PRD,E3D2,BAJA CALIFORNIA SUR,SAN JOSE DEL CABO,30.18%,0.0541,21.28%,40.78%,0.00%
PT,E3D2,BAJA CALIFORNIA SUR,SAN JOSE DEL CABO,62.22%,0.0415,55.40%,70.35%,100.00%
RSP,E3D2,BAJA CALIFORNIA SUR,SAN JOSE DEL CABO,3.42%,0.0141,1.10%,6.19%,0.00%
ES,E4D1,CAMPECHE,SAN FRANCISCO DE CAMPECHE,2.38%,0.0333,0.00%,8.91%,0.00%
MC,E4D1,CAMPECHE,SAN FRANCISCO DE CAMPECHE,2.78%,0.0284,0.00%,8.34%,0.00%
MORENA,E4D1,CAMPECHE,SAN FRANCISCO DE CAMPECHE,41.33%,0.0169,38.54%,44.64%,88.17%
