U Distrito,Partido candidato de la coalición,Estado,Numero distrito,Cabecera Distrital,MEDIA,RANGO MENOR,RANGO MAYOR,PROBABILIDAD FINAL
E2D8,PVEM,BAJA CALIFORNIA,8,TIJUANA,0.612523022,0.567166521,0.666568625,100.00%
E3D2,PT,BAJA CALIFORNIA SUR,2,SAN JOSE DEL CABO,0.582331223,0.528287123,0.646728739,100.00%
E7D9,MORENA,CHIAPAS,9,TUXTLA GUTIERREZ,0.815033073,0.717783717,0.930912828,100.00%
E20D8,PT,OAXACA,8,OAXACA DE JUAREZ,0.655017136,0.580260677,0.744094952,100.00%
E23D3,MORENA,QUINTANA ROO,3,CANCUN,0.690897659,0.641625248,0.749609357,100.00%
E23D4,PVEM,QUINTANA ROO,4,CANCUN,0.640454765,0.585127672,0.706381062,100.00%
E15D11,MORENA,MÉXICO,11,ECATEPEC DE MORELOS,0.505355737,0.483548531,0.531340625,100.00%
E15D17,MORENA,MÉXICO,17,ECATEPEC DE MORELOS,0.523296055,0.499470621,0.551685812,100.00%
E15D38,MORENA,MÉXICO,38,TEXCOCO DE MORA,0.644506991,0.611490619,0.683848425,100.00%
E15D8,MORENA,MÉXICO,8,TULTITLAN DE MARIANO ESCOBEDO,0.480102151,0.446181565,0.520521022,100.00%
E17D1,MORENA,MORELOS,1,CUERNAVACA,0.436424431,0.409376494,0.468654036,100.00%
E2D4,MORENA,BAJA CALIFORNIA,4,TIJUANA,0.604890313,0.560505940,0.657777554,100.00%
E27D4,MORENA,TABASCO,4,VILLAHERMOSA,0.702097370,0.674909682,0.734493498,100.00%
E29D3,MORENA,TLAXCALA,3,ZACATELCO,0.497236829,0.477263113,0.521036980,100.00%
E30D11,MORENA,VERACRUZ,11,COATZACOALCOS,0.617636155,0.552814172,0.694876311,100.00%
E2D3,PT,BAJA CALIFORNIA,3,ENSENADA,0.626096232,0.567083831,0.696413845,100.00%
E15D16,PT,MÉXICO,16,ECATEPEC DE MORELOS,0.608157143,0.513453771,0.721003171,100.00%
E9D4,PT,CIUDAD DE MÉXICO,4,IZTAPALAPA,0.635036547,0.582463139,0.697681627,100.00%
E27D6,MORENA,TABASCO,6,VILLAHERMOSA,0.614072975,0.586906160,0.646444231,100.00%
E2D7,MORENA,BAJA CALIFORNIA,7,MEXICALI,0.581189723,0.528474791,0.644003439,100.00%
E17D5,MORENA,MORELOS,5,YAUTEPEC,0.389399332,0.352953966,0.432826664,100.00%
E15D10,MORENA,MÉXICO,10,ECATEPEC DE MORELOS,0.506109008,0.484797946,0.531502704,100.00%
E15D13,MORENA,MÉXICO,13,ECATEPEC DE MORELOS,0.508121797,0.486791317,0.533538631,100.00%
E29D2,PT,TLAXCALA,2,TLAXCALA DE XICOHTENCATL,0.643526923,0.574714349,0.725522162,100.00%
E7D6,MORENA,CHIAPAS,6,TUXTLA GUTIERREZ,0.740807627,0.605103898,0.902508594,100.00%
E17D3,MORENA,MORELOS,3,CUAUTLA,0.411081441,0.382760824,0.444827537,100.00%
E17D2,MORENA,MORELOS,2,JIUTEPEC,0.455372732,0.409077657,0.510536716,100.00%
E27D1,MORENA,TABASCO,1,MACUSPANA,0.599920364,0.562103258,0.644982225,100.00%
E9D21,MORENA,CIUDAD DE MÉXICO,21,XOCHIMILCO,0.526356268,0.499538565,0.558311532,100.00%
E9D20,PT,CIUDAD DE MÉXICO,20,IZTAPALAPA,0.619100686,0.562070999,0.687055750,100.00%
E21D11,MORENA,PUEBLA,11,HEROICA PUEBLA DE ZARAGOZA,0.598786821,0.517058877,0.696171674,100.00%
E7D13,PT,CHIAPAS,13,HUEHUETAN,0.660015762,0.500794003,0.849740189,100.00%
E15D37,MORENA,MÉXICO,37,CUAUTITLAN,0.479558961,0.445537539,0.520097985,100.00%
E7D7,MORENA,CHIAPAS,7,TONALA,0.759333479,0.600568160,0.948514025,100.00%
E21D12,MORENA,PUEBLA,12,HEROICA PUEBLA DE ZARAGOZA,0.600128335,0.519806424,0.695837795,100.00%
E9D3,MORENA,CIUDAD DE MÉXICO,3,AZCAPOTZALCO,0.578956507,0.498566396,0.674747233,100.00%
E20D4,MORENA,OAXACA,4,TLACOLULA DE MATAMOROS,0.672976169,0.577452520,0.786799616,100.00%
