Partido candidato de la coalición,U Distrito,Estado,Cabecera.Distrital,Media,Rango menor,Rango mayor
ES,E1D2,AGUASCALIENTES,AGUASCALIENTES,0.0472,0,0.1280
MC,E1D2,AGUASCALIENTES,AGUASCALIENTES,0.0480,0.0213,0.0798
OTROS,E1D2,AGUASCALIENTES,AGUASCALIENTES,0.0508,0,0.1329
PAN,E1D2,AGUASCALIENTES,AGUASCALIENTES,0.2668,0.2056,0.3397
PRD,E1D2,AGUASCALIENTES,AGUASCALIENTES,0,0,0.0302883238562399
PRI,E1D2,AGUASCALIENTES,AGUASCALIENTES,0.1914,0.0650,0.3421
PT,E1D2,AGUASCALIENTES,AGUASCALIENTES,0.4342,0.3217,0.5682
RSP,E1D2,AGUASCALIENTES,AGUASCALIENTES,0.0364,0,0.0849
ES,E1D3,AGUASCALIENTES,AGUASCALIENTES,0.0364,0,0.1055
MC,E1D3,AGUASCALIENTES,AGUASCALIENTES,0.0428,0.0103,0.0814
MORENA,E1D3,AGUASCALIENTES,AGUASCALIENTES,0.2456,0.2273,0.2674
OTROS,E1D3,AGUASCALIENTES,AGUASCALIENTES,0.0461,0,0.1293
PAN,E1D3,AGUASCALIENTES,AGUASCALIENTES,0.3368,0.2292,0.4650
PRD,E1D3,AGUASCALIENTES,AGUASCALIENTES,0,0,0.0302120006458943
PRI,E1D3,AGUASCALIENTES,AGUASCALIENTES,0.2173,0.0394,0.4292
PT,E1D3,AGUASCALIENTES,AGUASCALIENTES,0.0276,0.0232,0.0327
PVEM,E1D3,AGUASCALIENTES,AGUASCALIENTES,0.1181,0,0.2635
RSP,E1D3,AGUASCALIENTES,AGUASCALIENTES,0.0280,0,0.0833
ES,E1D1,AGUASCALIENTES,JESUS MARIA,0.0282,0,0.1248
MC,E1D1,AGUASCALIENTES,JESUS MARIA,0.0292,0.0111,0.0507
MORENA,E1D1,AGUASCALIENTES,JESUS MARIA,0.2537,0.2368,0.2739
OTROS,E1D1,AGUASCALIENTES,JESUS MARIA,0.0399,0,0.1381
PAN,E1D1,AGUASCALIENTES,JESUS MARIA,0.5048,0.3460,0.6940
PT,E1D1,AGUASCALIENTES,JESUS MARIA,0.0305,0.0267,0.0350
PVEM,E1D1,AGUASCALIENTES,JESUS MARIA,0.1067,0,0.2620
RSP,E1D1,AGUASCALIENTES,JESUS MARIA,0.0581,0.0221,0.1010
ES,E2D1,BAJA CALIFORNIA,MEXICALI,0.0429,0,0.0956
MC,E2D1,BAJA CALIFORNIA,MEXICALI,0.0632,0.0333,0.0989
MORENA,E2D1,BAJA CALIFORNIA,MEXICALI,0.5500,0.4843,0.6282
OTROS,E2D1,BAJA CALIFORNIA,MEXICALI,0.0343,0,0.0842
PAN,E2D1,BAJA CALIFORNIA,MEXICALI,0.3137,0.1929,0.4577
RSP,E2D1,BAJA CALIFORNIA,MEXICALI,0.0334,0,0.0798
ES,E2D3,BAJA CALIFORNIA,ENSENADA,0.0393,0,0.0824
MC,E2D3,BAJA CALIFORNIA,ENSENADA,0.0441,0.0262,0.0654
OTROS,E2D3,BAJA CALIFORNIA,ENSENADA,0.0366,0,0.0875
PRI,E2D3,BAJA CALIFORNIA,ENSENADA,0.2846,0.2194,0.3622
PT,E2D3,BAJA CALIFORNIA,ENSENADA,0.5873,0.5303,0.6553
RSP,E2D3,BAJA CALIFORNIA,ENSENADA,0.0299,0.0120,0.0513
ES,E2D7,BAJA CALIFORNIA,MEXICALI,0.0527,0.0108,0.1026
MC,E2D7,BAJA CALIFORNIA,MEXICALI,0.0755,0.0376,0.1207
MORENA,E2D7,BAJA CALIFORNIA,MEXICALI,0.5647,0.4995,0.6423
OTROS,E2D7,BAJA CALIFORNIA,MEXICALI,0.0333,0,0.0754
PRI,E2D7,BAJA CALIFORNIA,MEXICALI,0.2629,0.1775,0.3647
RSP,E2D7,BAJA CALIFORNIA,MEXICALI,0.0208,0,0.0578
ES,E2D8,BAJA CALIFORNIA,TIJUANA,0.0466,0,0.0942
MC,E2D8,BAJA CALIFORNIA,TIJUANA,0.0407,0.0135,0.0730
OTROS,E2D8,BAJA CALIFORNIA,TIJUANA,0.0295,0,0.0621
PRD,E2D8,BAJA CALIFORNIA,TIJUANA,0.2511,0.1726,0.3446
PVEM,E2D8,BAJA CALIFORNIA,TIJUANA,0.6620,0.6032,0.7320
RSP,E2D8,BAJA CALIFORNIA,TIJUANA,0.0199,0,0.0640
ES,E2D2,BAJA CALIFORNIA,MEXICALI,0.0437,0.0105,0.0832
MC,E2D2,BAJA CALIFORNIA,MEXICALI,0.0581,0.0275,0.0946
MORENA,E2D2,BAJA CALIFORNIA,MEXICALI,0.4427,0.4234,0.4658
OTROS,E2D2,BAJA CALIFORNIA,MEXICALI,0.0343,0,0.0795
PAN,E2D2,BAJA CALIFORNIA,MEXICALI,0.3162,0.1875,0.4697
PT,E2D2,BAJA CALIFORNIA,MEXICALI,0.0241,0.0062,0.0454
PVEM,E2D2,BAJA CALIFORNIA,MEXICALI,0.0697,0,0.1452
RSP,E2D2,BAJA CALIFORNIA,MEXICALI,0.0261,0,0.0751
ES,E2D4,BAJA CALIFORNIA,TIJUANA,0.0404,0.0104,0.0762
MC,E2D4,BAJA CALIFORNIA,TIJUANA,0.0376,0.0142,0.0654
MORENA,E2D4,BAJA CALIFORNIA,TIJUANA,0.6041,0.5708,0.6438
OTROS,E2D4,BAJA CALIFORNIA,TIJUANA,0.0258,0,0.0603
PRI,E2D4,BAJA CALIFORNIA,TIJUANA,0.2155,0.1396,0.3059
PT,E2D4,BAJA CALIFORNIA,TIJUANA,0.0539,0.0415,0.0688
PVEM,E2D4,BAJA CALIFORNIA,TIJUANA,0.0639,0.0165,0.1204
RSP,E2D4,BAJA CALIFORNIA,TIJUANA,0.0464,0,0.0933
ES,E2D5,BAJA CALIFORNIA,TIJUANA,0.0495,0.0094,0.0974
MC,E2D5,BAJA CALIFORNIA,TIJUANA,0.0342,0.0063,0.0676
MORENA,E2D5,BAJA CALIFORNIA,TIJUANA,0.5126,0.4814,0.5499
OTROS,E2D5,BAJA CALIFORNIA,TIJUANA,0.0328,0,0.0768
PAN,E2D5,BAJA CALIFORNIA,TIJUANA,0.3024,0.1989,0.4257
PT,E2D5,BAJA CALIFORNIA,TIJUANA,0.0383,0.0205,0.0595
PVEM,E2D5,BAJA CALIFORNIA,TIJUANA,0.0725,0,0.1494
RSP,E2D5,BAJA CALIFORNIA,TIJUANA,0.0170,0,0.0706
ES,E2D6,BAJA CALIFORNIA,TIJUANA,0.0500,0.0135,0.0935
MC,E2D6,BAJA CALIFORNIA,TIJUANA,0.0356,0.0088,0.0676
MORENA,E2D6,BAJA CALIFORNIA,TIJUANA,0.5254,0.4964,0.5600
OTROS,E2D6,BAJA CALIFORNIA,TIJUANA,0.0344,0,0.0779
PRD,E2D6,BAJA CALIFORNIA,TIJUANA,0.2888,0.2006,0.3938
PT,E2D6,BAJA CALIFORNIA,TIJUANA,0.0378,0.0236,0.0547
PVEM,E2D6,BAJA CALIFORNIA,TIJUANA,0.0704,0,0.1509
RSP,E2D6,BAJA CALIFORNIA,TIJUANA,0.0202,0,0.0714
ES,E3D1,BAJA CALIFORNIA SUR,LA PAZ,0.0184,0,0.0708
MC,E3D1,BAJA CALIFORNIA SUR,LA PAZ,0.0256,0.0080,0.0465
OTROS,E3D1,BAJA CALIFORNIA SUR,LA PAZ,0.0559,0.0213,0.0972
PAN,E3D1,BAJA CALIFORNIA SUR,LA PAZ,0.3636,0.2443,0.5059
PT,E3D1,BAJA CALIFORNIA SUR,LA PAZ,0.4990,0.4522,0.5547
RSP,E3D1,BAJA CALIFORNIA SUR,LA PAZ,0.0473,0.0349,0.0621
ES,E3D2,BAJA CALIFORNIA SUR,SAN JOSE DEL CABO,0.0213,0,0.0814
